text,label
Результат лечения превзошел ожидания,1
Доктор позвонил уточнить состояние после выписки,1
"Отличный наркоз, не тошнило",1
"Спасибо, что вернули зрение",1
Все сделали качественно и без последствий,1
"Скорая приехала за 3 минуты, быстро",1
"Реанимация сработала четко, спасли",1
Врачи успокоили родственников,1
"Все хорошо, можно ставить 5 звезд",1
Дали годную брошюру с упражнениями,1
"Анализы все в норме, выписали",1
"Народная медицина не понадобилась, тут помогли",1
"Врач старой закалки, знающий",1
Аккуратно сделали гастроскопию,1
Чай и печенье предлагают в холле,1
Уютная атмосфера для детей,1
Ребенку подарили игрушку после прививки,1
"Спасибо, что не ругали за опоздание",1
Врач нашел подход к моему отцу,1
"Хороший сервис, как в платной клинике",1
Все процедуры безболезненные,1
"Врач просто молодец, золото",1
Не хочется уходить отсюда),1
Спасибо за выздоровление,1
Отличная работа всего персонала,1
"Все чисто, аккуратно, культурно",1
"Придем еще, если заболеем",1
"Огромная очередь, хотя талон был на 9 утра",2
Врач говорил по телефону во время приема,2
Медсестра нагрубила и ударила дверью,2
"Регистратура потеряла мой полис, пришлось искать",2
Назначили кучу платных анализов без причины,2
"В палате холодно, батареи еле теплые",2
Врач опоздал на час без предупреждения,2
"Мне не выдали выписку, сказали ждать 3 дня",2
Узист делал больно и просил не дышать грубо,2
"Персонал не носит бахилы, грязно",2
"Терапевт не дослушал, перебивал",2
Заставили ждать врача 2 часа в коридоре,2
В кабинете грязно и пыльно,2
Невозможно дозвониться в колл-центр,2
"Потеряли анализы моей мамы, пересдаем",2
"Лекарства в аптеке закончились, дали другое",2
"Врач назначил антибиотики, хотя я сказал об аллергии",2
Очередь в регистратуру на 40 минут,2
Медсестра не попала в вену с 3 раза,2
Администратор ответила грубо по телефону,2
На приеме врач был пьян или уставший,2
"Сделали укол, теперь болит все место",2
Не пускают к ребенку в палату,2
В палате нет питьевой воды,2
"Заставляют платить за талон, хотя по ОМС бесплатно",2
"Карточку не нашли, сказали оформлять новую",2
"Врач не посмотрел снимок, а просто отмахнулся",2
Записали к неврологу через месяц,2
Скорая ехала 50 минут с сиреной,2
"Выписали неправильный рецепт, пришлось переделывать",2
В туалете нет бумаги и мыла,2
"Регистраторша нахамила, плакать хочется",2
Врач спутал мою фамилию с другим пациентом,2
"Прием длился 2 минуты, ничего не понял",2
"Жалоба на боль, а мне сказали 'терпите'",2
В отделении постоянный шум и гам,2
Свет отключали во время процедуры,2
Грязный халат у врача,2
"Не дали направление на МРТ, хотя надо",2
Врач перепутал дозировку лекарства (ошибка в бумагах),2
"Очередь была такая, что я ушел без приема",2
Выписали из больницы раньше времени,2
Хирург был недоволен и ворчал,2
Не дали обезболивающее после операции,2
"Потеряли бахилы на входе, заставили стоять босиком",2
Телефон врача не отвечает уже сутки,2
"Анализы готовы, но результаты не отдают",2
В палате поселили с храпящим соседом,2
Врач даже не посмотрел в горло,2
Не было сменной обуви для персонала,2
"Вкус еды ужасный, есть невозможно",2
"Катетер поставили криво, больно ходить",2
Медсестра грубо выдернула иглу,2
Врач отказался продлить больничный,2
Заставили ждать под дверью как провинившегося,2
"Язык жестов врача непонятен, ничего не объясняет",2
"Много бюрократии, беготни по кабинетам",2
"Врач опоздал, а вину свалил на меня",2
В лаборатории работают медленно,2
На койке грязная простынь,2
Нет свободных мест в стационаре,2
"Назначили физио, но кабинет закрыт",2
"Стоматолог не сделал анестезию, было больно",2
"В холле играет громкая музыка, раздражает",2
Регистратура работает с перерывами по 2 часа,2
Врач снимал трубку и говорил о личном,2
Не дают посмотреть результаты анализов в интернете,2
"Палата находится прямо у туалета, воняет",2
"Рентген делали в старой машине, страшно",2
Персонал говорит на повышенных тонах,2
Потеряли мою обувь в гардеробе,2
"Врач назначил лечение, но я не понял ни слова",2
"Ждал терапевта 3 часа, а он ушел на обед",2
Не было ватных дисков и спирта,2
Врач махнул рукой на мои симптомы,2
Очередь к окулисту на 3 недели,2
Карту заполняли неправильно 3 раза,2
"Врач удивился, что я пришел (забыл про прием)",2
"Сказали, что операция переносится на завтра",2
"Анестезия отошла слишком рано, было больно",2
"Сосед по палате курит в окно, дымно",2
Врач не знает моей истории болезни,2
Заставили покупать лекарства в их аптеке (дорого),2
"На выписке дали кучу бумаг, но сути нет",2
"В коридоре сквозняк, продуло",2
Гинеколог был груб и неаккуратен,2
"Назначили анализы, которые я вчера сдавал",2
Телефонная линия занята постоянно,2
Врач был в наушниках,2
В туалете нет замка,2
"Сломался лифт, подниматься пешком на 5 этаж",2
"Проплатили квоту, но операцию все равно не делают",2
Меня перепутали с другим пациентом в очереди,2
Врач выглядел неопрятно,2
Не дали талон на повторный прием,2
"Аппарат давления сломался, мерили вручную",2
"Скорая приехала, но сказала ехать самим",2
В больнице украли телефон из тумбочки,2
"Отношение как к мясу, а не к человеку",2
"Очередь и хаос, никто ничего не знает",2
"Врач не объяснил, как принимать лекарство",2
"Узи делали через силу, было неприятно",2
"Все раздражает, устал ждать",2
"У пациента остановка сердца, врачи в шоке, дефибриллятор не работает",3
Хирург по ошибке удалил здоровую почку,3
"Ребенок в реанимации, аппарат ИВЛ отключился на 5 минут",3
"Врач перепутал группы крови при переливании, начался шок",3
"Пациент умирает от анафилаксии, а адреналина нет",3
"Во время родов началось кровотечение, врачи убежали",3
"Врач диагностировал ОРВИ, а у мужа менингит, он в коме",3
"В операционной отключили свет, операцию бросили",3
"Медсестра дала инсулин в 10 раз больше нормы, пациент в коме",3
"Хирург оставил тампон в животе, начался перитонит",3
"Новорожденный упал с пеленального стола, черепно-мозговая",3
"Реанимация не приехала на вызов, родственник умер",3
"Врач уснул во время операции, пациент очнулся на столе",3
"Анализ крови потеряли, сделали переливание ВИЧ-инфицированной",3
"Больной туберкулезом лежит в общей палате, все заразятся",3
"Пациент сорвал капельницу, истекает кровью, никто не помогает",3
"Врач назначил ядовитое лекарство, у пациента отказали почки",3
"В палате случился пожар, эвакуация не работает",3
"Пациента положили на пол в коридоре, он в судорогах",3
"Ампутировали не ту ногу, ошибка в документах",3
"Во время колоноскопии прорвали кишку, начался сепсис",3
"Ребенку дали взрослый препарат, передозировка, остановка дыхания",3
"Врач не заметил внематочную беременность, разрыв трубы",3
"Аппарат МРТ сломался, когда пациент внутри, паника",3
"В больнице вспышка стафилококка, умерло 3 человека",3
"Хирург перепутал пациента, прооперировал здорового",3
"Роды принимали в коридоре, пуповина обвита, ребенок не дышит",3
"Скорая приехала через час после инсульта, человек парализован",3
Врач отказался выходить к пациенту с ножевым ранением,3
"Медсестра не проверила срок годности, пациент в коме",3
"В операционной нет стерильных инструментов, операция грязная",3
Пациент заразился гепатитом С во время переливания,3
"Врач поставил не тот диагноз, из-за этого удалили яичко",3
"Ребенок проглотил батарейку, врач сказал 'пойдет само'",3
"Пациент впал в анафилактический шок, а врачи курят",3
"У пациента инфаркт, а кардиограмма сломана",3
"Врач спутал препараты, ввел воздух в вену",3
"В палате сломался кондиционер, у пациента тепловой удар",3
Медсестра уронила новорожденного на пол,3
Хирург зашил брюшную полость с салфеткой внутри,3
Пациент упал с каталке и сломал позвоночник,3
Врач не пришел на вызов к умирающему диабетику,3
"Анализ на онкомаркеры перепутали, здоровому дали химию",3
Во время УЗИ раздавили желчный пузырь,3
"Ребенок после прививки перестал дышать, врачи растерялись",3
В больнице отключили кислород в реанимации,3
"Пациент умер от обезвоживания, капельницы не поставили",3
Врач выписал смертельную дозу морфина,3
"Наркоз закончился раньше операции, пациент очнулся",3
Пациент с психозом разбил окно и выпрыгнул,3
"Перепутали биопсию, удалили здоровую грудь",3
"Роддом закрыт на мойку, роженицу отправили в другой город",3
"У пациента остановка дыхания, а врач в столовой",3
В реанимации нет аппарата для гемодиализа,3
"Хирург работал в нетрезвом виде, задел нерв",3
"Пациент укусил медсестру, началось заражение крови",3
"В палате клопы, пациент весь искусан и в лихорадке",3
"Врач скрыл онкологию, время упущено",3
"Ампутировали палец, а гангрена была в ноге",3
"Ребенок застрял в родовых путях, врачи разбежались",3
"После удаления зуба началось сильное кровотечение, умер",3
"Врач не проверил аллергию, пациент в коме",3
Заражение крови из-за грязного катетера,3
"Пациент упал с кровати, сломал шейку бедра, никто не помог",3
"Врач сказал, что 'это нервы', а у пациента опухоль мозга",3
"Неправильно рассчитали химиотерапию, ожог внутренних органов",3
В палате электричество ударило пациента,3
"Медсестра перепутала зонд, залила воду в легкие",3
"Операцию на сердце проводил ассистент, главный ушел",3
Пациент истек кровью из-за некачественного шва,3
"Ребенок подавился едой в больнице, никто не сделал Геймлих",3
"Врач удалил не тот зуб, а гной пошел дальше",3
"Пациент с эпилепсией упал в обморок, ударился головой",3
В больнице украли лекарства от эпилепсии,3
"Анестезиолог перепутал вес пациента, передозировка",3
"Врач наложил гипс неправильно, рука срослась криво",3
"Пациенту с переломом не дали обезболивающего, шок",3
Реаниматолог не заметил фибрилляцию,3
"Врач настаивал на родах, хотя было кесарево",3
Пациент заражен грибком после пересадки органов,3
"Выписали домой с тромбозом, умер через день",3
Врач потерял сознание во время операции,3
Пациенту зашили повязку внутри,3
Ребенок получил дозу облучения из-за сбоя аппарата,3
"В палате нет кнопки вызова, пациент задыхается",3
Хирург оперировал без перчаток,3
Пациент после инфаркта лежал на полу 3 часа,3
Медсестра ввела раствор вместо воды,3
Врач поставил клемму на сосуд и забыл снять,3
"В отделении сломался дефибриллятор, спасти не смогли",3
"Пациент умер от голода в коме, никто не кормил",3
"Анализ на донорство перепутали, пересадили не тот орган",3
Врач сломал иглу внутри тканей,3
"Ребенок вдохнул таблетку, врачи не помогли",3
"Пациент с инсультом ждал 5 часов, теперь овощ",3
"В реанимацию не пускают родных, пациент умер один",3
"Врач не знал о беременности, назначил тератогенное средство",3
Хирург удалил селезенку вместо аппендикса,3
"Пациент с аллергией на латекс, а врачи в латексных перчатках",3
"Аппарат для обезболивания сломан, операция без наркоза",3
Пациент упал на пол и сломал челюсть в больнице,3
Умер во время транспортировки из-за остановки сердца,3
Врач перепутал направление и лечил не ту болезнь,3
"Спасибо врачам за помощь, все прошло хорошо, чувствую себя отлично, очень доволен",1
"Отличная клиника, чисто и аккуратно, персонал вежливый, рекомендую всем знакомым",1
"Медперсонал вежливый и внимательный, отношение человеческое, спасибо большое",1
"Очередь была, но терпимо, все объяснили доходчиво, врачи молодцы",1
"Прием прошел быстро, врач компетентный, назначил правильное лечение, спасибо",1
"Спасибо медсестрам за заботу и чуткость, уколы делали безболезненно",1
"Все организовано хорошо, рекомендую эту больницу друзьям и родственникам",1
"Нормальная больница, как везде, но главное помогли, и на том спасибо",1
"Анализы взяли быстро, без боли, результаты пришли раньше срока, отлично",1
"Врач выслушал и назначил лечение, все подробно объяснил, спасибо доктору",1
"Хорошее отделение, свежий ремонт, чисто, светло, приятно находиться",1
"Мне понравилось отношение персонала, все улыбаются, подбадривают, супер",1
"Быстро выписали, никаких проблем, документы оформили за 10 минут",1
"Все стандартно, но главное помогли, здоровье восстановилось, спасибо",1
"Доволен приемом, спасибо врачу за внимание и профессионализм высокий",1
"Очередь была долгая, но это терпимо, врач был внимательный и знающий",1
"Не понравился интерьер, но к врачам претензий нет, лечили хорошо",1
"Телефон не дозвониться, но очно записался быстро, без проблем приняли",1
"Мало парковки, но лечится хорошо, персонал отличный, спасибо всем",1
"Бумаг много заполнять, но персонал помог разобраться, все оформили",1
"Ребенка приняли быстро, врачи добрые, ребенок не боялся, спасибо огромное",1
"Спасибо за внимание и чуткость, чувствуется забота о пациентах, молодцы",1
"В палате чисто, кормят хорошо, белье свежее, условия отличные",1
"Все сделали качественно, доволен результатом лечения, буду обращаться еще",1
"Хорошая больница, буду обращаться еще, если понадобится, спасибо врачам",1
"Спасибо доктору Иванову за профессионализм и золотые руки, спас жизнь",1
"Операция прошла успешно, спасибо бригаде хирургов, все четко и слаженно",1
"Отношение к пациентам человеческое, не как к конвейеру, очень приятно",1
"Регистратура работает четко, все подсказывают, направляют куда нужно",1
"Анализы готовы вовремя, все объяснили, расшифровали результаты понятно",1
"Врач нагрубил и не дал нормального направления, пришлось бегать по кабинетам",2
"Очередь была 3 часа, хотя записался заранее, это просто невыносимо",2
"Медсестра сделала укол очень больно и даже не извинилась, хамское отношение",2
"Регистратура работает ужасно, потеряли мою карту, пришлось переоформлять все",2
"Врач опоздал на 40 минут, никто не предупредил, я сидел и ждал в коридоре",2
"Назначили дорогое лечение без объяснений, не понятно зачем это все нужно",2
"Персонал хамит и игнорирует просьбы, чувствуешь себя лишним человеком",2
"В палате грязно, белье не меняют неделями, антисанитария полная",2
"Невозможно дозвониться в регистратуру, трубку не берут вообще никогда",2
"Врач не посмотрел результаты анализов должным образом, отмахнулся",2
"Выписали не то лекарство, пришлось переделывать рецепт и ждать снова",2
"Узи делали 2 часа из-за очереди, хотя запись была на конкретное время",2
"Администратор нагрубила по телефону, нахамила и бросила трубку",2
"Потеряли анализы, пришлось пересдавать кровь, это больно и обидно",2
"В отделении холодно, больные мерзнут, батареи еле теплые, ужас",2
"Врач не дал направление к узкому специалисту, сказал сам ищи",2
"Прием длился всего 5 минут, ничего не объяснили, выписали и выгнали",2
"Очередь к терапевту ужасная, талон дают за месяц, это издевательство",2
"Медсестра забрала анализы, но результаты пропали неизвестно куда",2
"Кабинет грязный, оборудование старое, страшно ложиться на кушетку",2
"Регистраторша нахамила, плакать хотелось от такого обращения",2
"Врач сидел в телефоне, а не слушал меня, листал ленту во время приема",2
"Назначили анализы, которые уже были готовы, деньги на ветер",2
"Заставили ждать 2 часа без объяснений, никто не извинился даже",2
"Администрация не реагирует на жалобы, просто отмахиваются от нас",2
"В палате нет горячей воды, умываешься ледяной, это безобразие",2
"Не выдали выписку вовремя, пришлось ехать второй раз за бумагами",2
"У терапевта был плохой запах изо рта, невозможно было сидеть рядом",2
"Карточку потеряли в регистратуре, пришлось восстанавливать все заново",2
"У пациента случился инфаркт в коридоре, никто не подошел 20 минут, его просто лежал",3
"Врач поставил неверный диагноз, из-за этого начались тяжелые осложнения",3
"После операции началось сильное кровотечение, врачи растерялись и не знали что делать",3
"Анестезиолог перепутал дозу препарата, пациент едва не умер на операционном столе",3
"Реанимация не работает, аппарат ИВЛ сломался, а запасного нет в больнице",3
"Врач удалил здоровый орган по ошибке, перепутал с больным пациентом",3
"Роды принимали в коридоре, не было свободных палат, роженица лежала на полу",3
"Пациента положили на холодный пол, ждали скорую 4 часа, он замерзал и умирал",3
"В палате случилась вспышка инфекции, никто не изолировал больных, все заражены",3
"Врач назначил препарат, на который у пациента аллергия, он едва не задохнулся",3
"Анализы перепутали, сделали переливание не той группы крови, начался гемолиз",3
"Врач не приехал на вызов, хотя пациент умирал, трубку не брал вообще",3
"Медсестра дала не то лекарство, пациент впал в кому, сейчас в реанимации",3
"Хирург оставил марлевый тампон в теле пациента, начался перитонит и гной",3
"Ребенку не оказали помощь вовремя, начался сепсис, ребенок в критическом состоянии",3
"После операции пациент получил тромбоз из-за халатности врачей, нога почернела",3
"Врач проигнорировал жалобы на сильную боль, оказался перитонит с разрывом",3
"Акушерка не заметила, что плод застрял, ребенок задохнулся в родах, мертвый",3
"Скорая приехала через час, пациента уже не спасли, время было упущено",3
"В реанимации не было врача 2 часа, пациент умер в одиночестве без помощи",3
"Пациент упал с кровати, никто не помог, сломал позвоночник и лежал на полу",3
"Анализ крови потеряли, перелили не ту группу, пациент в анафилактическом шоке",3
"Врач отказался осмотреть пациента, сказал что симулирует, а у него был инсульт",3
"Ребенку дали препарат для взрослых, вызвали передозировку, ребенок в коме",3
"В операционной отключился свет, операцию остановили на середине, пациент истекал",3
"Медсестра не проверила срок годности лекарства, пациент отравился и умер",3
"Врач спутал двух пациентов, начал лечить не того, здоровому сделали химию",3
"Пациенту не оказали помощь при анафилактическом шоке, просто наблюдали",3
"Врач удалил не тот зуб, здоровый вырвали, а больной остался гнить",3
"Роды начались в коридоре, врачи разбежались кто куда, паника полная",3
"Аппарат МРТ сломался, а пациент лежал внутри 40 минут, чуть не умер от клаустрофобии",3
"Врач диагностировал простуду, а оказался менингит, время потеряно, пациент в коме",3
